Sensys Flugate FL3-2
Time [ns],rho [mm],phi [mm],z [mm],Bx [nT],BxStdDev [nT],By [nT],ByStdDev [nT],Bz [nT],BzStdDev [nT]
1223733718523580,0,0,0,282.842,0.0557817,71.5504,0.0554341,-116.497,0.0565257
1223737720523653,0,0,0,282.807,0.0531351,71.5319,0.0449105,-116.436,0.0585952
1223741722524326,0,0,0,282.773,0.0545932,71.5201,0.0400928,-116.396,0.0493169
1223745724524051,0,0,0,282.731,0.0562813,71.5023,0.0498281,-116.48,0.056998
1223749726522360,0,0,0,282.818,0.0542032,71.5636,0.0423771,-116.466,0.0570148
1223753728523573,0,0,0,282.803,0.0530916,71.5486,0.0393438,-116.506,0.0508522
1223757730523718,0,0,0,282.788,0.0476134,71.5457,0.0395031,-116.439,0.0527838
1223761732521619,0,0,0,282.86,0.0652477,71.5782,0.0476688,-116.446,0.0586155
1223765734523036,0,0,0,282.764,0.0468064,71.5258,0.0504627,-116.478,0.0675683
1223769736523181,0,0,0,282.738,0.0639281,71.574,0.0532263,-116.537,0.0536007
1223773738522966,0,0,0,282.763,0.0498884,71.51,0.0417738,-116.5,0.0502951
1223777740521731,0,0,0,282.767,0.0506892,71.5121,0.0464752,-116.491,0.0611869
1223781742521312,0,0,0,282.766,0.0525239,71.5338,0.0436747,-116.484,0.0511142
1223785744522849,0,0,0,282.69,0.0451396,71.4981,0.0488132,-116.405,0.0396143
1223789746521506,0,0,0,282.676,0.0485355,71.5379,0.042735,-116.431,0.0562841
1223793748522407,0,0,0,282.716,0.0522822,71.5244,0.0442011,-116.409,0.0676264
1223797750521628,0,0,0,282.725,0.0465007,71.5134,0.0548431,-116.377,0.0524595
1223801752523729,0,0,0,282.753,0.0517104,71.5714,0.0408573,-116.306,0.0535379
1223805754522410,0,0,0,282.732,0.0443531,71.5167,0.0434517,-116.339,0.0476758
1223809756521559,0,0,0,282.736,0.0428349,71.5373,0.0440516,-116.294,0.0564609
1223813758520972,0,0,0,282.732,0.0516729,71.4447,0.0511041,-116.429,0.0612906
1223817760522797,0,0,0,282.717,0.0606251,71.4759,0.0408129,-116.387,0.0498483
1223821762524082,0,0,0,282.707,0.0428872,71.4996,0.0405975,-116.373,0.0673268
